curve_id,semester,time_frame,window,stop_loss_sigma,use_elastic_sizing,use_r2,use_ttest,use_anchor,use_slope_limit,use_z_dynamic,total_trades,win_trades_gross,loss_trades_gross,win_trades_net,loss_trades_net,avg_win_pct_gross,avg_loss_pct_gross,avg_win_pct_net,avg_loss_pct_net,win_ratio_gross,win_ratio_net,reward_ratio_gross,reward_ratio_net,profit_factor_gross,profit_factor_net,recovery_factor_gross,recovery_factor_net,sharpe_ratio_gross,sharpe_ratio_net,sortino_ratio_gross,sortino_ratio_net,calmar_ratio_gross,calmar_ratio_net,max_consecutive_wins_gross,max_consecutive_losses_gross,max_consecutive_wins_net,max_consecutive_losses_net,relative_expected_value_gross,relative_expected_value_net,cumulative_monetary_profit_gross,cumulative_monetary_profit_net,trade_time_min,trade_time_max,trade_time_mean,trade_time_median,drawdown_max,drawdown_mean,drawdown_median
S1|5min|W20|σ2.5|R2:0|t:1|Anc:1|Slp:1|Zdyn:1,S1,5min,20,2.5,False,False,True,True,True,True,661,368,293,368,293,0.000979240621441263,-0.0010869907490776828,0.0008852772873513192,-0.0012718307543761861,0.556732223903177,0.556732223903177,0.9008730039994853,0.6960653249697004,1.1314968969119037,0.8711009590251318,6.007359160193894,-6.610930526983928,1.7469645937441063,-1.8821932130626815,1.630993590057478,-1.6328450287870326,12.4771701889487,-13.116455473417393,11,6,11,6,6.334683692983918e-05,-7.089919710580486e-05,4215.110769981168,-4638.611363297919,5.0,3970.0,114.02420574886536,40.0,701.6578595652205,75.18662261173215,51.352815006973685
S4|5min|W40|σ3.5|R2:1|t:1|Anc:1|Slp:0|Zdyn:1,S4,5min,40,3.5,False,True,True,True,False,True,670,412,258,412,258,0.0007874204059926342,-0.001102251777884454,0.0006922903267768737,-0.0012883476196337135,0.6149253731343284,0.6149253731343284,0.7143743578295024,0.5373474644783345,1.1384587208880548,0.8575004079045145,6.452576399356972,-7.414081368860855,2.0488519966209746,-2.300087831441604,1.719368975408162,-1.7731831754940335,13.157046328668272,-14.474387434101695,11,5,11,5,5.975559488772555e-05,-7.040309139317327e-05,4045.0027500265246,-4647.752722300384,5.0,3935.0,228.91044776119404,65.0,626.8818065338409,70.27610810314611,50.34133790813877
S4|5min|W40|σ3.5|R2:1|t:0|Anc:1|Slp:0|Zdyn:1,S4,5min,40,3.5,False,True,False,True,False,True,670,412,258,412,258,0.0007874204059926342,-0.001102251777884454,0.0006922903267768737,-0.0012883476196337135,0.6149253731343284,0.6149253731343284,0.7143743578295024,0.5373474644783345,1.1384587208880548,0.8575004079045145,6.452576399356972,-7.414081368860855,2.0488519966209746,-2.300087831441604,1.719368975408162,-1.7731831754940335,13.157046328668272,-14.474387434101695,11,5,11,5,5.975559488772555e-05,-7.040309139317327e-05,4045.0027500265246,-4647.752722300384,5.0,3935.0,228.91044776119404,65.0,626.8818065338409,70.27610810314611,50.34133790813877
S3|30min|W20|σ1.5|R2:1|t:0|Anc:1|Slp:0|Zdyn:1,S3,30min,20,1.5,False,True,False,True,False,True,204,72,132,72,132,0.0018824477330840585,-0.0011710907798267065,0.0017700885747770876,-0.0013253975428651908,0.35294117647058826,0.35294117647058826,1.6074310937386218,1.335515207724455,0.8737328016470675,0.7244049782138918,-6.324550198408272,-15.422604502524097,-1.16357764791586,-2.8617732283444286,-1.451073963170166,-3.264184010167222,-12.903685364369776,-31.002275425186486,5,12,5,12,-9.337130468173084e-05,-0.00023287303075615135,-1913.9116354678258,-4667.130670261444,30.0,4050.0,291.9117647058824,90.0,302.61624549197325,94.76331214333158,89.34672749190258
S3|30min|W20|σ1.5|R2:1|t:0|Anc:0|Slp:0|Zdyn:1,S3,30min,20,1.5,False,True,False,False,False,True,204,72,132,72,132,0.0018824477330840585,-0.0011710907798267065,0.0017700885747770876,-0.0013253975428651908,0.35294117647058826,0.35294117647058826,1.6074310937386218,1.335515207724455,0.8737328016470675,0.7244049782138918,-6.324550198408272,-15.422604502524097,-1.16357764791586,-2.8617732283444286,-1.451073963170166,-3.264184010167222,-12.903685364369776,-31.002275425186486,5,12,5,12,-9.337130468173084e-05,-0.00023287303075615135,-1913.9116354678258,-4667.130670261444,30.0,4050.0,291.9117647058824,90.0,302.61624549197325,94.76331214333158,89.34672749190258
S4|5min|W40|σ3.5|R2:1|t:1|Anc:0|Slp:0|Zdyn:1,S4,5min,40,3.5,False,True,True,False,False,True,675,415,260,415,260,0.000783496267843146,-0.001095480987092021,0.0006885028795373482,-0.0012814579507849178,0.6148148148148148,0.6148148148148148,0.7152075454298432,0.5372808987728602,1.1392501780264075,0.856994925102923,6.5006466201741455,-7.456761528030402,2.063535348010434,-2.312857808841554,1.7320132769827015,-1.7831592384508594,13.257018268564998,-14.555720007061801,11,5,11,5,5.9742065942192846e-05,-7.029684769789501e-05,4075.137096892875,-4674.508137583742,5.0,3935.0,227.65925925925927,65.0,626.8818065338409,69.95815367831699,50.20874158318689
S4|5min|W40|σ3.5|R2:1|t:0|Anc:0|Slp:0|Zdyn:1,S4,5min,40,3.5,False,True,False,False,False,True,675,415,260,415,260,0.000783496267843146,-0.001095480987092021,0.0006885028795373482,-0.0012814579507849178,0.6148148148148148,0.6148148148148148,0.7152075454298432,0.5372808987728602,1.1392501780264075,0.856994925102923,6.5006466201741455,-7.456761528030402,2.063535348010434,-2.312857808841554,1.7320132769827015,-1.7831592384508594,13.257018268564998,-14.555720007061801,11,5,11,5,5.9742065942192846e-05,-7.029684769789501e-05,4075.137096892875,-4674.508137583742,5.0,3935.0,227.65925925925927,65.0,626.8818065338409,69.95815367831699,50.20874158318689
S2|30min|W40|σ3.5|R2:1|t:0|Anc:0|Slp:0|Zdyn:0,S2,30min,40,3.5,False,True,False,False,False,False,155,81,74,81,74,0.0028436172281465777,-0.003463619267032854,0.0027392021014474867,-0.0036330176230490985,0.5225806451612903,0.5225806451612903,0.8209959031041516,0.7539743501570314,0.8961365436961789,0.8234644681462109,-3.2457873276951736,-5.72232292913877,-0.8559255295814644,-1.5310558386695128,-0.7918556197885589,-1.3701866156642644,-6.379923862082561,-11.133340599451877,7,6,7,6,-0.00016757955019715138,-0.0003030189283121737,-2653.6158671224234,-4678.324667791413,30.0,8370.0,1040.7096774193549,420.0,817.5569127650609,214.86150105191936,198.26257571469478
S2|30min|W40|σ3.5|R2:1|t:0|Anc:1|Slp:0|Zdyn:0,S2,30min,40,3.5,False,True,False,True,False,False,155,81,74,81,74,0.0028436172281465777,-0.003463619267032854,0.0027392021014474867,-0.0036330176230490985,0.5225806451612903,0.5225806451612903,0.8209959031041516,0.7539743501570314,0.8961365436961789,0.8234644681462109,-3.2457873276951736,-5.72232292913877,-0.8559255295814644,-1.5310558386695128,-0.7918556197885589,-1.3701866156642644,-6.379923862082561,-11.133340599451877,7,6,7,6,-0.00016757955019715138,-0.0003030189283121737,-2653.6158671224234,-4678.324667791413,30.0,8370.0,1040.7096774193549,420.0,817.5569127650609,214.86150105191936,198.26257571469478
S2|30min|W40|σ3.5|R2:1|t:1|Anc:1|Slp:0|Zdyn:0,S2,30min,40,3.5,False,True,True,True,False,False,155,81,74,81,74,0.0028436172281465777,-0.003463619267032854,0.0027392021014474867,-0.0036330176230490985,0.5225806451612903,0.5225806451612903,0.8209959031041516,0.7539743501570314,0.8961365436961789,0.8234644681462109,-3.2457873276951736,-5.72232292913877,-0.8559255295814644,-1.5310558386695128,-0.7918556197885589,-1.3701866156642644,-6.379923862082561,-11.133340599451877,7,6,7,6,-0.00016757955019715138,-0.0003030189283121737,-2653.6158671224234,-4678.324667791413,30.0,8370.0,1040.7096774193549,420.0,817.5569127650609,214.86150105191936,198.26257571469478
